,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
264,0,0,279,363,-2.267275572,2.438042164,9,3,3,0.067849949,12.34799957,0.922999978,0.045000002,44.89331357,-62.41665746
265,0,0,154,118,-8.232222557,5.674665928,4,1,3,0.043413945,10.76900005,0.760999978,0.054000001,44.89160409,-62.39096675
266,0,0,54,87,-3.972642899,1.835681558,16,3,0,0.515502393,12.28600025,0.681999981,0.088,44.88975501,-62.19419352
267,0,0,157,215,-6.427785873,0.262437463,10,-2,1,0.103763215,12.20899963,1.027999997,0.066,44.88753,-62.33826777
268,0,0,217,264,-3.279249907,0.636139393,17,6,0,0.206500933,12.37199974,1.055999994,0.067000002,44.88586644,-62.32321815
269,0,0,69,85,-7.164007664,4.025569916,16,10,3,0.28744939,10.77099991,0.686999977,0.068999998,44.88291106,-62.30330995
270,0,0,353,416,-2.608769417,0.437634319,15,5,3,0.141226411,11.87300014,0.758000016,0.075000003,44.88184619,-62.3361171
271,0,0,91,117,-5.914061069,0.223760352,18,6,3,0.480396867,11.04500008,0.552999973,0.079000004,44.88023658,-62.27852562
272,0,0,367,344,-1.796449304,3.474280596,8,8,3,0.005199446,11.39799976,1.026000023,0.046999998,44.88007414,-62.48060524
273,0,0,51,81,-5.32427597,4.628820419,14,5,3,0.38306281,11.29699993,0.816999972,0.082000002,44.87873629,-62.29050921
274,0,0,176,167,-4.268663406,2.720640659,6,6,2,0.005649485,11.90200043,1.157999992,0.039000001,44.87471205,-62.47932414
275,0,0,66,271,-1.15079999,7.146867275,12,2,0,0.224061489,11.57400036,0.615999997,0.082999997,44.86953588,-62.33227099
276,0,0,77,113,-6.934673786,1.460284352,8,5,3,0.172475278,11.40200043,0.791999996,0.071999997,44.86705791,-62.39654228
277,0,0,548,629,-1.156930447,0.421187699,13,3,2,0.005475774,12.21199989,1.018000007,0.035,44.86656963,-62.42401642
278,0,0,444,626,-1.024032354,0.315817982,13,1,1,0.001770776,14.47500038,3,0.071999997,44.85788529,-62.4520109
