,X,PA,cover,suitability8,suitability9,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon
8,8,0,0,NA,NA,-0.022992674,NA,51,14,0,0.000981247,NA,NA,NA,45.35316351,-60.97181541
9,9,0,0,45,186,-4.012310505,2.190562963,46,6,0,0.156527147,NA,NA,NA,45.35252196,-60.95351839
10,10,0,0,NA,NA,-0.381563723,NA,55,8,0,0.023139663,NA,NA,NA,45.35153761,-61.02281097
11,11,0,0,34,62,-7.322405338,2.250249386,40,8,0,0.375189185,NA,NA,NA,45.34956846,-60.92949743
12,12,0,0,NA,550,-0.713824868,0.522033691,48,3,0,0.066629149,NA,NA,NA,45.34780312,-60.97156014
13,13,0,0,72,265,-6.779970646,15.24016571,43,1,0,0.015568888,NA,NA,NA,45.34559234,-60.98906328
14,14,0,0,54,145,-1.317311764,2.574091673,45,7,0,0.300406218,NA,NA,NA,45.34289205,-60.94359022
16,16,0,0,NA,NA,0.76726079,1.299071908,38,6,0,NA,NA,NA,NA,45.31278322,-60.96879166
18,18,0,0,NA,NA,-0.580861449,2.87378335,24,9,0,NA,NA,NA,NA,45.28308381,-60.96405052
19,19,0,0,34,82,-6.225358486,2.463450909,21,1,0,0.201592311,NA,NA,NA,45.25353838,-61.04004329
20,20,0,0,253,253,-3.00729847,4.390132427,4,0,1,0.000899172,NA,NA,NA,45.23317691,-61.77021905
21,21,0,0,NA,NA,-2.889114618,5.922494411,4,1,1,NA,NA,NA,NA,45.22831225,-61.75739428
22,22,0,0,127,157,-4.940133572,3.506291628,2,2,1,0.002205824,NA,NA,NA,45.21757422,-61.72642452
23,23,0,0,125,139,-5.318393707,3.837179422,2,3,1,0.001595871,NA,NA,NA,45.21512875,-61.73316533
24,24,0,0,130,164,-6.977558136,0.365463078,1,0,1,0.002780296,NA,NA,NA,45.21248979,-61.72252647
25,25,0,0,107,129,-6.636534691,3.731480837,2,2,3,0.002636217,NA,NA,NA,45.20584033,-61.7195556
26,26,0,0,NA,NA,-2.512689352,NA,7,7,3,0.002400235,NA,NA,NA,45.20046572,-61.71789365
27,27,0,0,292,309,-1.159445047,1.989614725,10,0,1,0.000898183,NA,NA,NA,45.19834569,-61.67026025
28,28,0,0,188,283,-3.594930172,0.536100507,8,-1,1,0.001230891,NA,NA,NA,45.19546939,-61.66676249
29,29,0,0,511,495,0.34474051,1.446789145,12,3,3,0.0017368,NA,NA,NA,45.19066663,-61.66019129
30,30,0,0,235,303,-3.917058706,0.320319742,8,0,1,0.001726283,NA,NA,NA,45.19040383,-61.66465301
31,31,0,0,155,197,-5.993375301,0.496662289,6,-1,1,0.005789598,NA,NA,NA,45.18243553,-61.65682046
32,32,0,0,NA,NA,1,NA,12,10,3,0.000736247,NA,NA,NA,45.18091207,-61.71610525
33,33,0,0,154,156,-7.020956516,1.042724967,6,-1,1,0.031563349,NA,NA,NA,45.18018352,-61.65286414
34,34,0,0,564,332,-1.460529327,2.501671314,17,0,3,0.122215375,NA,NA,NA,45.17731043,-61.45114172
35,35,0,0,192,205,-4.863643169,1.045653582,8,0,1,0.003389238,NA,NA,NA,45.17894988,-61.65512056
36,36,0,0,308,224,-3.660723448,0.217839077,16,0,1,0.174849153,NA,NA,NA,45.17443363,-61.44810171
37,37,0,0,240,212,-4.557321548,3.563736439,8,1,1,0.023608716,NA,NA,NA,45.17578444,-61.65385876
38,38,0,0,361,92,-3.213917971,1.656562567,17,2,3,0.290104449,NA,NA,NA,45.17144733,-61.43704765
