source,subproject,id,site,subsite,year,month,day,SamplingType_1,SamplingType_2,SamplingType_3,latitude,longitude,seagrass,bathy_m,subObs,subObs_JT,SubObs_Jtcat,percent.cover,percent.cover.cat,percent.cover.notes,,
Monitoring,,40,Lower Three Fathom,,2019,,,Video transect,,,44.63492,-63.2959,1,1,Sand & Mud,soft,1,,,NW end T2,,where are the PA and % cover data for these transects?
Monitoring,,41,Lower Three Fathom,,2019,,,Video transect,,,44.63461,-63.29539,1,1,Sand & Mud,soft,1,,,SE end T2,,where are the PA and % cover data for these transects?
Monitoring,,42,Mason's Island,,2020,7,10,Video transect,,,44.38997,-64.27895,1,2,Sand & Mud,soft,1,,,MonMasT2Parstart_5_2020,,No T2 parallel
Monitoring,,43,Mason's Island,,2020,7,10,Video transect,,,44.3902,-64.27866,1,,Sand & Mud,soft,1,,,MonMasT2Perstart_7_2020,,No T2 perp
Monitoring,,44,Mason's Island,,2020,5,23,Video transect,,,44.38995,-64.27899,1,2,Sand & Mud,soft,1,,,MonMasT2Parstart_5_2020,,No T2 parallel
Monitoring,,45,Mason's Island,,2020,11,7,Video transect,,,44.39047,-64.27905,1,2,Sand & Mud,soft,1,100,5,MonMasT1Parstart_11_2020,,
Monitoring,,46,Mason's Island,,2020,11,7,Video transect,,,44.38998,-64.27893,1,2,Sand & Mud,soft,1,90,5,MonMasT1Parend_11_2020,,
Monitoring,,47,Mason's Island,,2020,11,7,Video transect,,,44.38998,-64.27893,1,2,Sand & Mud,soft,1,,,MonMasT2Parstart_11_2020,,Can't find T2 parallel in % cover file
Monitoring,,48,Mason's Island,,2020,11,7,Video transect,,,44.39046,-64.27903,1,2,Sand & Mud,soft,1,,,MonMasT2Parend_11_2020,,Can't find T2 parallel in % cover file
Monitoring,,49,Mason's Island,,2020,11,7,Video transect,,,44.39016,-64.2793,1,,Sand & Mud,soft,1,,,MonMastT1Perstart_11_2020,,"There is no T1 perpendicular in the data, just perpendicular 3"
Monitoring,,50,Mason's Island,,2020,11,7,Video transect,,,44.39016,-64.27874,1,,Sand & Mud,soft,1,,,MonMasT1Perend_11_2020,,"There is no T1 perpendicular in the data, just perpendicular 3"
