"","seagrass_PA","seagrass_cover","suitability","bathy_m","slope","bpi_broad","bpi_fine","sub_type","rei","temp1m_median","temp1m_qrange","ws1m_q90","coords$lat","coords$lon","biomass"
"1",1,14.3999996185303,108,-1.0292866230011,1.26345932483673,17,0,1,0.011647954583168,15.2080001831055,0.569000005722046,0.0769999995827675,45.1032213469693,-61.7276353443565,31.0831037661343
"2",1,0,200,0.187296107411385,0.239810362458229,20,2,1,0.0198434945195913,15.0659999847412,0.518999993801117,0.131999999284744,45.0962420647019,-61.7233421515516,23.549243
"3",1,0,102,-1.50853180885315,1.57189440727234,18,0,1,0.0971630588173866,15.1780004501343,0.537000000476837,0.128000006079674,45.0956418959166,-61.7260244291849,23.549243
"4",1,99.3000030517578,72,-1.49952054023743,0.684057593345642,18,2,1,0.00103050738107413,15.0319995880127,0.477999985218048,0.0700000002980232,45.0925217880438,-61.728762565456,312.290930615285
"5",0,0,271,-2.16522288322449,4.15897464752197,3,-1,1,0.00122570805251598,21.826000213623,2.35400009155273,0.377000004053116,45.0815257096364,-61.9486919574412,23.549243
"6",0,0,617,1,0,7,1,1,0.00174213841091841,21.6959991455078,2.74399995803833,0.136000007390976,45.0789027640473,-61.9376228884203,23.549243
"7",1,100,100,1,0.69644159078598,18,8,1,0.00129100657068193,13.8109998703003,0.75,0.028999999165535,45.0774675921702,-61.8233677643896,316.292443
"8",0,0,30,-7.42938423156738,5.09862899780273,10,2,1,0.174561858177185,12.0419998168945,0.453999996185303,0.0520000010728836,45.0774032892408,-61.8171436281023,23.549243
"9",0,0,240,-2.26859736442566,0.870453178882599,4,-2,1,0.00186983018647879,21.4869995117188,3.26799988746643,0.181999996304512,45.0766604082917,-61.9336624152716,23.549243
"10",1,10,769,0.827319145202637,0.0837439149618149,8,1,1,0.0193329211324453,21.048999786377,4.01700019836426,0.165000006556511,45.0763121316147,-61.9301115576865,27.545263
"11",0,0,33,-4.9774751663208,2.3689911365509,12,3,3,0.187379017472267,12.7969999313354,0.674000024795532,0.0480000004172325,45.0752075241064,-61.8180782512937,23.549243
"12",0,0,53,-1.95944154262543,2.09274888038635,15,3,1,0.157865718007088,13.6260004043579,0.879999995231628,0.0439999997615814,45.0739888797919,-61.8221052150953,23.549243
"13",1,10,745,0.938364326953888,0.120228722691536,9,1,1,0.00223313784226775,20.7320003509521,5.14900016784668,0.152999997138977,45.0746995347767,-61.9261397617108,27.545263
"14",1,10,682,0.380524069070816,0.854573249816895,8,0,1,0.00206364644691348,20.9689998626709,4.99300003051758,0.157000005245209,45.0740945710146,-61.9288189914417,27.545263
"15",0,0,471,0.822462558746338,0.205133631825447,8,1,1,0.00153339200187474,21.3939990997314,3.70499992370605,0.143999993801117,45.07350201642,-61.9328318681361,23.549243
"16",1,70,741,1,0,9,1,1,0.00236711301840842,20.3239994049072,5.97900009155273,0.180999994277954,45.0734060038533,-61.9226068335424,169.486783
"17",0,0,787,1,0,9,1,1,0.0115985199809074,20.4869995117188,5.89099979400635,0.179000005125999,45.0728011227466,-61.9252860382552,23.549243
"18",1,30,672,1,0.313836574554443,10,1,1,0.00243359105661511,19.9680004119873,6.04199981689453,0.17399999499321,45.0727507918261,-61.9199513090484,52.389503
"19",1,26.6666660308838,813,1,0,10,1,1,0.0281511656939983,19.3150005340576,6.33500003814697,0.186000004410744,45.0717805110352,-61.9173017958909,46.6884064165709
"20",1,10,585,-1.28431642055511,1.65840303897858,7,0,1,0.0249733682721853,20.0230007171631,6.49399995803833,0.171000003814697,45.0715201508393,-61.9230868992665,27.545263
"21",0,0,232,-3.34634494781494,1.20124042034149,6,-3,1,0.00234641204588115,19.7439994812012,6.50899982452393,0.180000007152557,45.0708649504826,-61.9204314557844,23.549243
"22",0,0,720,1,0,11,1,1,0.00227109645493329,18.9500007629395,6.49700021743774,0.187999993562698,45.0704993876109,-61.9151028772949,23.549243
"23",1,31,505,0.876611173152924,1.21909379959106,9,1,1,0.00157163687981665,20.246000289917,5.83699989318848,0.129999995231628,45.0696594060015,-61.9262341533686,54.221542
"24",0,0,617,1,1.85815155506134,11,1,1,0.00213863258250058,18.3740005493164,6.42899990081787,0.263000011444092,45.0689074465999,-61.9133545560835,23.549243
"25",1,95,685,1,0.362068861722946,11,1,1,0.00222758576273918,18.6849994659424,6.73799991607666,0.296000003814697,45.0686262235616,-61.9169167450861,288.313958
"26",0,0,636,0.604716360569,1.10495173931122,18,4,3,0.182810619473457,14.0690002441406,1.20099997520447,0.0419999994337559,45.0656523952918,-61.838726070537,23.549243
"27",0,0,623,0.931246280670166,0.566177546977997,18,5,3,0.217321336269379,14.1940002441406,1.17799997329712,0.0549999997019768,45.0649270938432,-61.8294046049972,23.549243
"28",0,0,31,-5.74463605880737,1.65216755867004,12,2,3,0.220412775874138,12.9469995498657,0.768999993801117,0.0820000022649765,45.0648126415786,-61.8182924951275,23.549243
"29",1,95,808,1,0,11,1,1,0.0355495922267437,18.4080009460449,6.75899982452393,0.270999997854233,45.0651527083008,-61.9160931834867,288.313958
"30",1,87.5,807,1,0,12,1,1,0.035653430968523,17.9780006408691,6.7350001335144,0.23199999332428,45.0635650062082,-61.9147894858148,248.97938675
"31",0,0,216,-4.23447799682617,0.686397612094879,13,0,1,0.195776209235191,13.5069999694824,0.994000017642975,0.0379999987781048,45.0622144936569,-61.8414630260917,23.549243
"32",1,26.2000007629395,86,-2.33133745193481,0.935694575309753,15,5,2,0.0766388848423958,13.1870002746582,0.962000012397766,0.14300000667572,45.0616994116005,-61.821913068448,45.9400628934482
