species,longitude,latitude
eelgrass,-64.90081,43.87522
eelgrass,-64.92749,43.81601
eelgrass,-64.39159,44.2348
eelgrass,-64.37413,44.21891
eelgrass,-64.37724,44.21388
eelgrass,-64.38033,44.19602
eelgrass,-64.37713,44.2007
eelgrass,-64.20778,44.40057
eelgrass,-64.21905,44.38646
eelgrass,-62.79092,44.74505
eelgrass,-64.39915,44.23688
eelgrass,-64.40623,44.23835
eelgrass,-63.9563,44.64144
eelgrass,-63.16618,44.71228
eelgrass,-64.28045,44.4014
eelgrass,-63.95347,44.6466
eelgrass,-64.89527,43.87176
eelgrass,-62.80097,44.74445
eelgrass,-64.23672,44.397
eelgrass,-64.82285,43.87282
eelgrass,-62.57229,44.81987
eelgrass,-63.29317,44.6356
eelgrass,-64.96234,43.86737
eelgrass,-62.5763,44.8235
eelgrass,-63.9438,44.5925
eelgrass,-64.779,43.908
eelgrass,-63.434,44.607
eelgrass,-65.055,43.7
eelgrass,-60.481,46.921
eelgrass,-63.241,44.703
eelgrass,-62.884,44.719
eelgrass,-61.95,45.05
eelgrass,-63.41,44.667
eelgrass,-64.379,44.45
eelgrass,-59.852,46.134
eelgrass,-65.427,43.562
eelgrass,-64.557,44.096
eelgrass,-65.349,43.594
eelgrass,-64.86123,43.85303
eelgrass,-64.88112,43.82585
eelgrass,-64.84954,43.82198
eelgrass,-64.88568,43.86658
eelgrass,-64.8795,43.83111
eelgrass,-64.88156,43.84071
eelgrass,-64.83634,43.82755
eelgrass,-64.83692,43.83235
eelgrass,-64.8625,43.84138
eelgrass,-65.16621,43.7174
eelgrass,-65.23852,43.67909
eelgrass,-65.23425,43.6969
eelgrass,-65.16636,43.7111
eelgrass,-65.14442,43.71371
eelgrass,-65.14219,43.71941
eelgrass,-65.1662,43.72528
eelgrass,-65.22776,43.70276
eelgrass,-65.15248,43.73429
eelgrass,-65.18693,43.70985
eelgrass,-65.17992,43.70378
eelgrass,-64.84086,43.92797
eelgrass,-64.79096,43.9501
eelgrass,-64.8209,43.90969
eelgrass,-64.82702,43.93635
eelgrass,-64.80046,43.89467
eelgrass,-64.81987,43.94839
eelgrass,-64.78365,43.91168
eelgrass,-64.77127,43.89823
eelgrass,-64.78148,43.90118
eelgrass,-64.77069,43.95288
eelgrass,-64.88519,43.79736
eelgrass,-64.87631,43.79542
eelgrass,-64.88348,43.80372
eelgrass,-64.86726,43.79974
eelgrass,-64.87748,43.80565
eelgrass,-64.886,43.81017
eelgrass,-64.88802,43.81601
eelgrass,-64.87346,43.81295
eelgrass,-64.88718,43.8216
eelgrass,-64.8793,43.81461
eelgrass,-64.86911,43.81695
eelgrass,-64.87124,43.82603
eelgrass,-64.87522,43.84536
eelgrass,-64.88111,43.85656
eelgrass,-64.8872,43.8604
eelgrass,-64.86963,43.85473
eelgrass,-64.86642,43.84881
eelgrass,-64.86808,43.83851
eelgrass,-64.86352,43.83255
eelgrass,-64.85944,43.82503
eelgrass,-64.86586,43.8223
eelgrass,-64.85818,43.81694
eelgrass,-64.86332,43.81013
