species,longitude,latitude
eelgrass,-64.89542,43.87254
eelgrass,-63.58759,44.45598
eelgrass,-63.29539,44.63461
eelgrass,-64.27899,44.38995
eelgrass,-64.90075,43.87523
eelgrass,-64.92857,43.81759
eelgrass,-64.93481,43.82879
eelgrass,-64.39356,44.23582
eelgrass,-64.40576,44.23855
eelgrass,-64.4046,44.23847
eelgrass,-64.40182,44.23757
eelgrass,-64.39676,44.23684
eelgrass,-64.39586,44.23654
eelgrass,-64.38289,44.23455
eelgrass,-64.40295,44.23768
eelgrass,-64.40053,44.23721
eelgrass,-64.26751,44.39221
eelgrass,-64.21266,44.39878
eelgrass,-64.37939,44.21966
eelgrass,-64.37532,44.22113
eelgrass,-64.37347,44.22077
eelgrass,-64.37362,44.2198
eelgrass,-64.37413,44.21891
eelgrass,-64.37636,44.21392
eelgrass,-64.37964,44.21393
eelgrass,-64.3811,44.214
eelgrass,-64.37609,44.20008
eelgrass,-64.38031,44.22142
eelgrass,-64.37797,44.22041
eelgrass,-64.37664,44.22107
eelgrass,-64.37585,44.20105
eelgrass,-64.37567,44.1982
eelgrass,-64.37693,44.19774
eelgrass,-64.37825,44.19756
eelgrass,-64.37979,44.19644
eelgrass,-64.3798,44.19572
eelgrass,-64.38105,44.19555
eelgrass,-64.37902,44.19714
eelgrass,-64.37713,44.2007
eelgrass,-64.20778,44.40057
eelgrass,-64.28011,44.4001
eelgrass,-64.21827,44.38632
eelgrass,-64.21666,44.38657
eelgrass,-62.79092,44.74505
eelgrass,-62.79042,44.74445
eelgrass,-62.79277,44.74587
eelgrass,-62.78935,44.74386
eelgrass,-62.79021,44.74626
eelgrass,-62.79471,44.7458
eelgrass,-64.39945,44.23692
eelgrass,-64.39815,44.2368
eelgrass,-64.4069,44.23764
eelgrass,-64.40792,44.23753
eelgrass,-64.40404,44.23585
eelgrass,-64.40507,44.23634
eelgrass,-64.39494,44.23568
eelgrass,-64.39481,44.23644
eelgrass,-64.39795,44.2378
eelgrass,-63.95612,44.64077
eelgrass,-63.9563,44.64144
eelgrass,-63.95622,44.64222
eelgrass,-63.16649,44.71255
eelgrass,-63.16646,44.71179
eelgrass,-63.94147,44.59228
eelgrass,-63.94173,44.59113
eelgrass,-63.58588,44.45529
eelgrass,-63.29326,44.63616
eelgrass,-64.2802,44.401
eelgrass,-64.27928,44.39967
eelgrass,-64.28032,44.40217
eelgrass,-63.9536,44.64564
eelgrass,-63.95461,44.64675
eelgrass,-63.95327,44.6463
eelgrass,-63.95533,44.64575
eelgrass,-63.95542,44.64473
eelgrass,-62.79261,44.74676
eelgrass,-62.57203,44.81982
eelgrass,-64.90182,43.87555
eelgrass,-62.80011,44.74485
eelgrass,-62.80128,44.7443
eelgrass,-64.23681,44.39708
eelgrass,-64.3916,44.23489
eelgrass,-64.3907,44.23467
eelgrass,-63.59126,44.45502
eelgrass,-63.59039,44.45566
eelgrass,-64.82388,43.87218
eelgrass,-64.82142,43.87418
eelgrass,-64.8231,43.87176
eelgrass,-64.82285,43.87282
eelgrass,-64.82254,43.8735
eelgrass,-64.38081,44.22241
eelgrass,-63.29262,44.6346
eelgrass,-64.27915,44.39068
eelgrass,-64.8958,43.87191
eelgrass,-64.89977,43.87468
eelgrass,-64.2375,44.39511
eelgrass,-64.23775,44.39695
eelgrass,-64.90242,43.87613
eelgrass,-64.89486,43.87193
eelgrass,-64.8951,43.87113
eelgrass,-62.80101,44.74508
eelgrass,-62.80221,44.74466
eelgrass,-63.5896,44.45513
eelgrass,-62.57162,44.82049
eelgrass,-64.38176,44.22273
eelgrass,-63.29332,44.63528
eelgrass,-64.2793,44.39144
eelgrass,-64.96243,43.86788
eelgrass,-64.23611,44.39587
eelgrass,-64.23722,44.39611
eelgrass,-62.573,44.81997
eelgrass,-63.58846,44.45528
eelgrass,-62.57257,44.82064
eelgrass,-63.29464,44.63525
eelgrass,-64.96129,43.86718
eelgrass,-64.96291,43.8673
eelgrass,-62.7965,44.7444
eelgrass,-62.5763,44.8235
eelgrass,-63.952,44.648
eelgrass,-63.9438,44.5925
eelgrass,-64.779,43.908
eelgrass,-63.434,44.607
eelgrass,-65.055,43.7
eelgrass,-60.481,46.921
eelgrass,-63.241,44.703
eelgrass,-62.884,44.719
eelgrass,-63.433,44.657
eelgrass,-61.95,45.05
eelgrass,-63.41,44.667
eelgrass,-64.379,44.45
eelgrass,-59.852,46.134
eelgrass,-65.427,43.562
eelgrass,-64.557,44.096
eelgrass,-65.349,43.594
eelgrass,-64.823,43.909
eelgrass,-64.88858,43.86706
eelgrass,-64.88571,43.86627
eelgrass,-64.86141,43.85343
eelgrass,-64.88115,43.82566
eelgrass,-64.8799,43.84154
eelgrass,-64.84963,43.82249
eelgrass,-64.84773,43.82042
eelgrass,-64.88749,43.86696
eelgrass,-64.87844,43.82754
eelgrass,-64.86203,43.84092
eelgrass,-64.87996,43.82577
eelgrass,-64.8787,43.82545
eelgrass,-64.8795,43.83111
eelgrass,-64.88026,43.84233
eelgrass,-64.88156,43.84071
eelgrass,-64.83634,43.82755
eelgrass,-64.83645,43.8284
eelgrass,-64.83692,43.83235
eelgrass,-64.88905,43.86814
eelgrass,-64.88013,43.82958
eelgrass,-64.87998,43.83032
eelgrass,-64.88997,43.86697
eelgrass,-64.86047,43.85324
eelgrass,-64.88134,43.84167
eelgrass,-64.83531,43.82698
eelgrass,-64.84976,43.82177
eelgrass,-64.83469,43.82501
eelgrass,-64.86247,43.84015
eelgrass,-65.16621,43.7174
eelgrass,-65.23852,43.67909
eelgrass,-65.16636,43.7111
eelgrass,-65.14442,43.71371
eelgrass,-65.14219,43.71941
eelgrass,-65.16658,43.71815
eelgrass,-65.24077,43.68114
eelgrass,-65.2346,43.69687
eelgrass,-65.2274,43.70298
eelgrass,-65.16596,43.72522
eelgrass,-65.15248,43.73429
eelgrass,-65.15333,43.73376
eelgrass,-65.18693,43.70985
eelgrass,-65.17992,43.70378
eelgrass,-64.84043,43.92785
eelgrass,-64.81872,43.90848
eelgrass,-64.84621,43.92672
eelgrass,-64.78231,43.91054
eelgrass,-64.84263,43.92693
eelgrass,-64.8416,43.92825
eelgrass,-64.82184,43.90999
eelgrass,-64.84746,43.92663
eelgrass,-64.79096,43.9501
eelgrass,-64.82076,43.90958
eelgrass,-64.82702,43.93635
eelgrass,-64.80098,43.89466
eelgrass,-64.79721,43.89276
eelgrass,-64.77106,43.95283
eelgrass,-64.81987,43.94839
eelgrass,-64.77987,43.90858
eelgrass,-64.78365,43.91168
eelgrass,-64.8416,43.92673
eelgrass,-64.82001,43.90859
eelgrass,-64.81766,43.90753
eelgrass,-64.81874,43.94919
eelgrass,-64.82372,43.94701
eelgrass,-64.79957,43.89385
eelgrass,-64.78042,43.90121
eelgrass,-64.78119,43.9026
eelgrass,-64.83763,43.92499
eelgrass,-64.84006,43.9262
eelgrass,-64.80702,43.91557
eelgrass,-64.78177,43.90109
eelgrass,-64.80714,43.91487
eelgrass,-64.77139,43.8979
eelgrass,-64.88432,43.79718
eelgrass,-64.88268,43.79687
