species,longitude,latitude
eelgrass,-64.84734,43.80243
eelgrass,-64.84412,43.81461
eelgrass,-64.84341,43.8112
eelgrass,-64.83861,43.81124
eelgrass,-64.83751,43.80897
eelgrass,-63.92193,44.49854
eelgrass,-63.94835,44.52642
eelgrass,-64.06102,44.58759
eelgrass,-61.09085,45.52281
eelgrass,-61.09338,45.52394
eelgrass,-63.495,44.60833
eelgrass,-65.62084,43.38959
eelgrass,-64.97,43.8621
eelgrass,-64.96718,43.86845
eelgrass,-60.55263,46.29909
eelgrass,-62.78,44.77536
eelgrass,-64.12024,44.50438
eelgrass,-64.05115,44.62975
eelgrass,-64.92889,43.8179
eelgrass,-64.93006,43.82094
eelgrass,-64.92751,43.81601
eelgrass,-64.32061,44.39953
eelgrass,-64.28719,44.38338
eelgrass,-64.28307,44.37976
eelgrass,-64.283,44.39637
eelgrass,-64.28018,44.39841
eelgrass,-64.2795,44.39605
eelgrass,-64.27782,44.39972
eelgrass,-64.27642,44.38821
eelgrass,-64.27554,44.38495
eelgrass,-64.27339,44.39874
eelgrass,-64.27173,44.39119
eelgrass,-64.31028,44.383
eelgrass,-64.26855,44.39512
eelgrass,-64.26698,44.39974
eelgrass,-64.26303,44.39466
eelgrass,-64.26007,44.39883
eelgrass,-64.25933,44.3963
eelgrass,-64.25674,44.40024
eelgrass,-64.24588,44.39539
eelgrass,-64.23077,44.39541
eelgrass,-64.30684,44.38236
eelgrass,-64.22109,44.39987
eelgrass,-64.30058,44.37947
eelgrass,-64.29985,44.38281
eelgrass,-64.29738,44.40058
eelgrass,-64.29324,44.39472
eelgrass,-64.29232,44.39091
eelgrass,-65.57845,43.55972
eelgrass,-65.49682,43.46475
eelgrass,-65.49609,43.4863
eelgrass,-65.49315,43.47819
eelgrass,-65.48921,43.48132
eelgrass,-65.46187,43.46395
eelgrass,-65.45819,43.46798
eelgrass,-65.45313,43.5048
eelgrass,-65.45266,43.51573
eelgrass,-65.44944,43.49863
eelgrass,-65.44965,43.51359
eelgrass,-65.57012,43.54633
eelgrass,-65.44394,43.50802
eelgrass,-65.43635,43.50181
eelgrass,-65.4945,43.4881
eelgrass,-65.56419,43.50829
eelgrass,-65.56391,43.50044
eelgrass,-65.55852,43.51404
eelgrass,-65.5541,43.518
eelgrass,-65.5271,43.48368
eelgrass,-65.49933,43.4867
eelgrass,-65.4959,43.4613
eelgrass,-64.40607,44.2336
eelgrass,-64.38443,44.214
eelgrass,-64.38408,44.21661
eelgrass,-64.38008,44.23787
eelgrass,-64.3678,44.20983
eelgrass,-64.3547,44.21689
eelgrass,-64.35421,44.21997
eelgrass,-64.35242,44.25222
eelgrass,-64.35197,44.22848
eelgrass,-64.3499,44.25471
eelgrass,-64.40049,44.18459
eelgrass,-64.34612,44.21833
eelgrass,-64.34607,44.22592
eelgrass,-64.33578,44.26815
eelgrass,-64.33038,44.24017
eelgrass,-64.39973,44.19029
eelgrass,-64.39851,44.23113
eelgrass,-64.393,44.20294
eelgrass,-64.39277,44.20835
eelgrass,-65.45372,43.58572
eelgrass,-65.39391,43.52713
eelgrass,-65.39192,43.5251
eelgrass,-65.39025,43.53121
eelgrass,-65.38902,43.51625
eelgrass,-65.38338,43.53347
eelgrass,-65.38028,43.50785
eelgrass,-65.37993,43.55303
eelgrass,-65.37227,43.54608
eelgrass,-65.36284,43.51792
eelgrass,-65.35787,43.54181
eelgrass,-65.43399,43.56184
eelgrass,-65.42799,43.58191
eelgrass,-65.43973,43.56106
eelgrass,-65.42474,43.55142
eelgrass,-65.41512,43.56257
eelgrass,-65.40324,43.53057
eelgrass,-65.39754,43.50199
eelgrass,-65.3991,43.51373
eelgrass,-64.90221,43.86375
eelgrass,-64.87575,43.85268
eelgrass,-64.87576,43.83814
eelgrass,-64.87525,43.84041
eelgrass,-64.873,43.83887
eelgrass,-64.87008,43.83097
eelgrass,-64.8693,43.85985
eelgrass,-64.89642,43.86952
eelgrass,-64.86426,43.85003
eelgrass,-64.86416,43.84485
eelgrass,-64.89197,43.85529
eelgrass,-64.88579,43.8614
eelgrass,-64.88345,43.80459
eelgrass,-64.88064,43.85
eelgrass,-64.88032,43.86179
eelgrass,-64.94837,43.84447
eelgrass,-64.9332,43.82723
eelgrass,-64.92806,43.80862
eelgrass,-64.92745,43.8063
eelgrass,-64.92748,43.81093
eelgrass,-64.92531,43.80058
eelgrass,-64.92388,43.79567
eelgrass,-64.92363,43.80345
eelgrass,-64.91883,43.80076
eelgrass,-64.94795,43.83788
eelgrass,-64.91898,43.80547
eelgrass,-64.91756,43.7946
eelgrass,-64.91493,43.793
eelgrass,-64.91246,43.79137
eelgrass,-64.94494,43.84153
eelgrass,-64.94555,43.83511
eelgrass,-64.94298,43.83506
eelgrass,-64.93894,43.8287
eelgrass,-64.93666,43.82354
eelgrass,-64.93862,43.84176
eelgrass,-64.93294,43.81856
eelgrass,-64.84579,43.9246
eelgrass,-64.80703,43.84885
eelgrass,-64.80568,43.89718
eelgrass,-64.80524,43.91841
eelgrass,-64.80147,43.91437
eelgrass,-64.79961,43.86159
eelgrass,-64.79458,43.85812
eelgrass,-64.792,43.92476
eelgrass,-64.78684,43.86231
eelgrass,-64.7866,43.91917
eelgrass,-64.78206,43.89668
eelgrass,-64.78031,43.91585
eelgrass,-64.77503,43.90407
eelgrass,-64.75533,43.90428
eelgrass,-64.83051,43.84041
eelgrass,-64.82598,43.91637
eelgrass,-64.82481,43.84304
eelgrass,-64.81631,43.832
eelgrass,-64.81056,43.84104
eelgrass,-64.8102,43.91042
eelgrass,-65.3782,43.73716
eelgrass,-65.3211,43.63552
eelgrass,-65.31752,43.60948
eelgrass,-65.31325,43.6481
eelgrass,-65.31107,43.61882
eelgrass,-65.31039,43.64213
eelgrass,-65.30833,43.61231
eelgrass,-65.30462,43.67974
eelgrass,-65.30333,43.64084
eelgrass,-65.29776,43.67411
eelgrass,-65.34962,43.70677
eelgrass,-65.28428,43.64999
eelgrass,-65.34289,43.59726
eelgrass,-65.3386,43.68821
eelgrass,-65.33333,43.62013
eelgrass,-65.32358,43.62766
eelgrass,-65.32461,43.6589
eelgrass,-63.0318,44.74412
eelgrass,-63.03121,44.76986
eelgrass,-63.03074,44.73466
eelgrass,-63.02725,44.76416
eelgrass,-63.02736,44.74518
eelgrass,-63.00666,44.70942
eelgrass,-62.97173,44.70981
eelgrass,-62.9322,44.72592
eelgrass,-62.90914,44.65029
eelgrass,-62.88466,44.67565
eelgrass,-62.91256,44.71983
eelgrass,-62.89303,44.7229
eelgrass,-62.88922,44.70894
eelgrass,-62.88549,44.68581
eelgrass,-62.8587,44.69273
eelgrass,-62.83398,44.70124
eelgrass,-62.80774,44.6823
eelgrass,-62.81752,44.72603
eelgrass,-62.81831,44.73159
eelgrass,-62.81315,44.73252
eelgrass,-62.80684,44.69895
eelgrass,-62.79732,44.70188
eelgrass,-62.79562,44.76551
eelgrass,-62.79355,44.75409
eelgrass,-62.79589,44.69999
eelgrass,-62.79182,44.70184
eelgrass,-62.788,44.73742
eelgrass,-62.78567,44.75758
eelgrass,-62.77678,44.73194
eelgrass,-62.77595,44.71634
eelgrass,-62.75715,44.77318
eelgrass,-62.75483,44.77024
eelgrass,-62.7438,44.77646
eelgrass,-62.73957,44.75973
eelgrass,-62.72242,44.76612
eelgrass,-62.72039,44.74152
eelgrass,-62.70752,44.78042
eelgrass,-62.68857,44.7745
eelgrass,-62.68168,44.79462
eelgrass,-62.6818,44.77718
eelgrass,-62.67209,44.7778
eelgrass,-62.66744,44.77184
eelgrass,-62.64939,44.80217
eelgrass,-62.64353,44.807
eelgrass,-62.64175,44.80438
eelgrass,-62.61815,44.83169
eelgrass,-62.61607,44.83277
eelgrass,-62.60689,44.83858
eelgrass,-62.60734,44.78193
eelgrass,-62.60492,44.79266
eelgrass,-62.59996,44.79294
eelgrass,-62.56268,44.79711
eelgrass,-62.55642,44.80829
eelgrass,-62.5519,44.80858
eelgrass,-62.5486,44.85246
eelgrass,-62.54766,44.85499
eelgrass,-62.54499,44.84984
eelgrass,-62.54455,44.85442
eelgrass,-62.54664,44.80463
eelgrass,-62.5411,44.84609
eelgrass,-62.52565,44.84178
eelgrass,-62.5074,44.8116
eelgrass,-62.48061,44.88021
eelgrass,-62.47925,44.87468
eelgrass,-62.46097,44.85384
eelgrass,-62.45646,44.85734
eelgrass,-62.45689,44.84129
eelgrass,-62.45218,44.85799
eelgrass,-62.45029,44.83169
